docid,best_match,score
174000644.pdf_74,Cruachan-July-30-2024-Final-1.pdf_6,0.3671875
174000644.pdf_76,Energy pathways 2050_Key results.pdf_9,0.36328125
174000644.pdf_77,CountryReport2021_France_final.pdf_9,0.3515625
174000644.pdf_79,Wind-Observatory-2023.pdf_109,0.466796875
174000644.pdf_80,2022-10-27-draft-response-document.pdf_110,0.640625
174000644.pdf_81,2022-10-27-draft-response-document.pdf_110,0.453125
174000644.pdf_84,16 ENGIE Colloque Stockage ATEE 5 oct2023.pdf_14,0.55859375
174000644.pdf_85,2024-02_Rapport_indicateurs_eng.pdf_14,0.462890625
174000644.pdf_87,CountryReport2021_France_final.pdf_5,0.5390625
174000644.pdf_89,CountryReport2021_France_final.pdf_10,0.515625
174000644.pdf_94,IRENA_Renewable_power_generation_costs_in_2023.pdf_77,0.546875
174000644.pdf_95,IRENA_Renewable_power_generation_costs_in_2023.pdf_66,0.51171875
174000644.pdf_97,offshore-wind-handbook-2023.pdf_46,0.54296875
174000644.pdf_99,Tidal_Energy_V4_WEB.pdf_32,0.49609375
174000644.pdf_101,France NPF (EN).pdf_27,0.4296875
174000644.pdf_102,hy-hn27-03-tidal-data.pdf_0,0.43359375
174000644.pdf_104,IRENA_Renewable_power_generation_costs_in_2023.pdf_169,0.578125
174000644.pdf_105,IRENA_Renewable_power_generation_costs_in_2023.pdf_169,0.404296875
174000644.pdf_106,IRENA_Renewable_power_generation_costs_in_2023.pdf_151,0.5625
174000644.pdf_107,IRENA_Renewable_power_generation_costs_in_2023.pdf_151,0.451171875
174000644.pdf_109,Energy pathways 2050_Key results.pdf_25,0.412109375
174000644.pdf_111,s-and-p-edf-ratings-direct-2024-07-02.pdf_8,0.29296875
174000644.pdf_114,IRENA_Renewable_power_generation_costs_in_2023.pdf_81,0.546875
174000644.pdf_115,IRENA_Renewable_power_generation_costs_in_2023.pdf_55,0.5234375
174000644.pdf_116,IRENA_Renewable_power_generation_costs_in_2023.pdf_81,0.490234375
174000644.pdf_117,Solar photovoltaic-toward commoditization.pdf_114,0.51171875
174000644.pdf_119,IRENA_Renewable_power_generation_costs_in_2023.pdf_190,0.38671875
174000644.pdf_121,Energy pathways 2050_Key results.pdf_40,0.44921875
174000644.pdf_122,2024-02_Rapport_indicateurs_eng.pdf_9,0.369140625
174000644.pdf_124,2022-04_EDF-RD-White-Paper_Renewables-Integration.pdf_5,0.4921875
174000644.pdf_125,2024-06-24_Aquila-Clean-Energy_Whitepaper_BESS_EN.pdf_10,0.60546875
174000644.pdf_126,E02-gas_fired_power-GS-AD-gct.pdf_2,0.353515625
174000644.pdf_127,final_report_levelised_costs_0.pdf_38,0.287109375
174000644.pdf_129,France NPF (EN).pdf_5,0.55859375
174000644.pdf_130,France NPF (EN).pdf_6,0.58984375
174000644.pdf_131,France NPF (EN).pdf_6,0.67578125
174000644.pdf_134,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.361328125
174000644.pdf_139,CID-Decision-VIVO-ENERGY-VIP-II-BLU.pdf_12,0.44140625
174000644.pdf_141,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.375
174000644.pdf_142,cepInput_Energy_Taxation_in_France.pdf_6,0.41015625
174000644.pdf_144,2022-10-27-draft-response-document.pdf_72,0.40625
174000644.pdf_145,Energy pathways 2050_Key results.pdf_53,0.37890625
174000644.pdf_146,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_6,0.515625
174000644.pdf_149,cepInput_Energy_Taxation_in_France.pdf_6,0.57421875
174000644.pdf_151,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_6,0.470703125
174000644.pdf_154,cepInput_Energy_Taxation_in_France.pdf_6,0.6015625
174000644.pdf_156,Garievskii_2021_J._Phys.__Conf._Ser._2096_012123.pdf_2,0.49609375
